document,0,1,2,3,4,5,6,7,8,9,10,11
236,,0.04108834,,0.06824527,0.37313864,,0.39127624,,,,,0.10804149
237,,,0.05091828,0.05356587,0.2302101,,,,0.653763,,,
238,,,0.17773657,0.4568116,0.11833297,0.18854171,,,,,,0.04530185
239,,,,0.07245667,0.38478184,,,,0.3744345,,,0.14583865
240,,0.07150308,0.11686279,,0.6052041,0.106150046,,,0.07681162,,,
241,0.10757753,0.058146264,,0.14059967,0.5298149,,,,0.04404964,,,0.1034393
242,0.1290034,0.10442501,,0.033962466,0.4750292,,,0.035901822,0.20086019,,,
243,,0.13136105,,,0.5944458,,,,0.21870977,0.030010106,,
244,,,0.060819402,,0.16875061,,0.26858672,,0.4795872,,,
245,0.11787188,,0.060932416,0.40278837,0.16159381,0.07150533,0.089442454,,0.0854251,,,
246,0.043247323,0.03169806,,0.0508535,0.14897938,,0.08591729,0.077566065,0.54998624,,,
247,0.04037018,0.13520019,,0.20533973,0.3051584,,0.25965905,,0.03763994,,,
248,,,0.029301437,0.21602185,0.16511677,,0.06545139,,0.34613612,0.034906983,,0.13661794
249,,0.19153872,,0.36022782,0.21404697,,0.072851144,,0.05145229,,0.028540313,0.07217872
250,0.16808118,0.06197906,,0.026254224,0.33637556,,0.052964445,,0.33531645,,,
251,0.23461989,,,0.058474906,0.2867477,,,,0.34653467,,0.054130066,
252,,,,0.049464595,0.160929,,,,0.6467711,,,0.13394856
253,,,,0.55128443,0.294639,0.09712309,,,,,0.05176707,
254,,0.061778624,,0.27349755,0.42210302,,0.18875258,0.03609743,,,,
255,,0.107458524,,,0.50606793,,0.22752488,,0.13182238,,,
256,0.07021196,,,0.22081466,0.25640944,,0.31087396,,,0.051837586,,0.07384187
257,0.04158968,0.10851278,,0.06818563,0.30505654,,0.13375998,,0.3326536,,,
258,0.1325304,0.12524079,,0.44015023,0.08628043,,,,0.09954678,0.10216975,,
259,,0.023994328,0.09266906,0.15715207,0.23260751,,,,0.47527277,,,
260,,,0.137841,0.22527325,0.36897352,0.11483099,,,0.13203801,,,
261,,,,0.14589082,0.68906903,0.065331906,,,,,,0.074729
262,,0.06833159,,0.1867977,0.279905,,0.25671834,,0.16739886,0.025888858,,
263,,0.08083427,,0.20809513,0.21915516,,0.44491068,,0.028308472,,,
264,0.053927436,0.20559195,,0.60024154,0.06466378,,,0.012730572,,,,0.053333968
265,,,,,0.15986261,,0.024201373,,0.66309196,,,0.14480664
266,0.08554037,,,0.20845005,0.4499445,,0.2142689,,0.021003248,,,
267,0.101613835,,,0.2502776,0.11697451,,0.1380979,,0.32191938,0.056369726,,
268,,,0.08888903,0.36389607,0.24700712,,,,0.21735229,0.07059959,,
269,0.10908371,,,0.13758762,0.17033081,0.027346963,,,0.5418344,,,
270,,0.06015085,,0.14027427,0.6185972,,,,,,,0.15731189
271,0.13061209,,,0.2950752,0.09056576,,0.30021,,,0.09694898,,0.0704546
272,,,,0.1293858,0.40439695,,,,0.20530519,,,0.2394262
273,,,0.1484798,0.27226713,0.27692184,,0.18839926,,0.09252271,,,
274,0.09222764,,,0.06798092,0.37522408,,,,0.3305214,,,0.12202948
275,0.72168946,,,0.060557608,0.14189231,,,,,0.06998326,,
276,,0.2390732,,0.15101154,0.26163408,,0.24671601,,,,,0.08196779
277,0.046162203,0.07376882,,0.12468908,0.16634248,0.060909018,0.44068438,,0.07435145,,,
278,,0.043322463,,0.31414503,0.2340383,,0.16722257,,0.07766145,,,0.14389773
279,,0.109444074,,0.0654617,0.1856373,,0.3993618,,0.099627405,0.12107701,,
280,0.10139168,0.024903905,,0.27273673,0.12972221,,0.339349,,,0.119674735,,
281,0.05608001,0.021555506,,0.18921405,0.38417327,,0.07570536,,0.188598,0.075144745,,
282,,,,0.16934696,0.12714182,0.12880763,0.19931069,,0.36303267,,,
283,,,,0.16971327,0.6183809,0.030350965,,,,,,0.15405181
284,0.07952602,,,0.1655618,0.40490213,,,,0.2989875,,,0.03729761
285,,,,0.0709924,0.101789825,,,,0.7150397,0.030711459,,0.07343
286,,,,0.043946892,0.33421022,0.031546857,,,0.58288705,,,
287,0.06711496,0.09055028,,0.19700243,0.37454867,,,,0.17567715,,,0.08332203
288,,0.07624865,,0.03385994,0.18266068,,0.09389596,,0.6032965,,,
289,,,0.12568094,0.071024865,0.2642216,,,,0.48833105,0.03823512,,
