document,0,1,2,3,4,5,6,7,8,9,10
173,,0.020989137,,0.6882769,0.23140813,,0.048268083,,,,
174,0.181335,0.15700196,,,0.14602007,0.3704234,,,0.0183012,0.10817073,
175,,,,0.7120887,0.17600396,0.05034804,,,0.03344096,,
176,,,,0.37354174,0.2446823,,,,,0.3682232,
177,,0.192121,,0.219801,0.27635714,0.043489058,,,0.021746507,,0.22613177
178,,0.30488637,,0.2013441,0.27529803,0.096949674,,,0.016952679,,0.08867639
179,0.24041118,0.048284736,,0.48640454,0.15961373,,,,,,0.04463938
180,,,,0.38856572,0.40785092,0.04788312,,,0.041132174,,0.09687754
181,,0.072270535,,0.14417532,0.19855557,0.14245848,,0.10686794,,0.049192525,0.27098492
182,0.043214496,0.14114623,,0.5883389,,0.063333556,,,,0.14727332,
183,0.10717995,0.06092763,,0.275708,0.22813113,,,0.12995075,,0.18076275,
184,,0.1884492,,0.18693885,0.31472373,,,0.20976388,,,0.082858495
185,,,0.017218135,0.92544544,0.034845047,,,,,,
186,,0.050263338,,0.2996979,0.37305683,0.07952701,,,,0.1775108,
187,,0.23673268,,0.10707412,0.35478857,,,,,0.12825954,0.1522142
188,,0.18116191,,0.76511616,0.028531333,,,,,,
189,0.22698383,0.106470354,0.02384933,0.61903185,,,,,,,
190,,0.035395678,,0.5620365,0.37365276,,,,0.010042243,,
191,,,,0.70734435,0.25713083,0.021494513,,,,,
192,,0.062995285,,0.5057551,0.14362474,,,0.26407385,,,
193,0.05169372,,,0.73354155,0.1256324,0.06595028,,,,,
194,,0.14800696,,0.27908424,0.20346476,0.13533996,,,,0.21708849,
195,,,,0.36869916,0.32649308,0.14517479,,,,0.13502972,
196,0.18365139,0.32149905,,0.057156786,0.11434305,,0.079214066,,,,0.2240249
197,0.07932868,0.06574645,,0.19089893,0.41058287,0.23645492,,,,,
198,,0.21475738,,0.123186275,0.24511819,0.031416748,,0.12848195,,0.1574485,0.08543183
199,0.09032711,0.21405,,0.13572499,0.3887181,,,0.10304314,0.0477258,,
200,,0.35046113,0.017083889,,0.38433385,0.032606795,,,,,0.20305584
201,,,0.021950515,0.15306574,0.36623222,0.3067369,,,,0.13671884,
202,,,,0.22696237,0.31323457,0.09100732,,,,0.34440202,
203,,0.022014914,,0.73263115,0.15782012,,,,,,0.07292673
204,,0.097374946,,0.41939214,0.45482227,,,,,,
205,0.06926973,0.08941403,,0.4737223,0.34104437,,,,,,
206,0.2816045,0.13553606,,0.19003095,,0.038759705,,0.16084523,,,0.17517553
207,0.05146171,0.17276303,,0.31536794,0.14576544,0.12546349,,0.17271565,,,
208,,0.014515685,,0.24850437,0.57962525,0.015659664,,,,0.12219934,
209,,0.31219405,,0.048481613,0.07997171,,0.30203062,0.05210834,0.02115853,0.169014,
210,0.13398354,0.18377236,0.033144392,0.14622904,0.18404143,0.17061767,,,,,0.13179787
211,,0.073894985,,,0.67502934,0.13840272,,,,,0.08958286
212,,0.035117418,,0.74114954,0.08206774,,,,,0.09642104,0.033578828
213,,0.1455955,,0.093213625,0.27417338,0.09561917,,0.105815485,,0.2676133,
214,,0.07633045,,0.57106286,0.19554889,,,,,,0.1439845
