document,0,1,2,3
473,,0.06842769,0.64755124,0.28178683
474,0.027960416,,0.90314865,0.06720492
475,0.35229245,,0.64441353,
476,,0.31210795,0.5176152,0.16743508
477,0.10655635,0.17751996,0.7147047,
478,,,0.9989077,
479,,,0.06285593,0.9356657
480,,0.15335295,0.6346962,0.20845187
481,0.15567167,0.028145151,0.8146024,
482,0.0137437545,0.03831085,0.36726022,0.5806852
483,,,0.9995627,
484,0.19435604,0.055885293,0.46759513,0.28216356
485,,0.27835208,0.7142978,
486,0.39734295,0.021275863,0.5799037,
487,,0.029128062,0.8903644,0.078105114
488,0.11608112,0.11642885,0.76500523,
489,0.14129353,0.114373475,0.63699013,0.10734289
490,,0.31844443,0.6185936,0.060397636
491,0.6846988,,0.31321898,
492,0.46930948,,0.52819544,
493,0.26207253,0.14831053,0.5642869,0.02533003
494,0.25909063,0.07077746,0.5837984,0.0863335
495,,0.123219304,0.75115865,0.12293547
496,,0.11985181,0.8536039,0.025169196
497,,0.37675205,0.44675753,0.17487636
498,0.47278002,0.16069315,0.36537954,
499,,0.1886792,0.8049112,
500,,0.2677757,0.72915554,
501,0.25882912,0.09983248,0.63943136,
502,0.5334436,0.049081072,0.41645008,
503,0.07814477,0.07562512,0.68474686,0.16148327
504,0.28435886,0.16286318,0.55112475,
505,0.15547363,,0.7057962,0.13672411
506,0.2270693,0.13981819,0.6319398,
507,0.42619115,0.12044501,0.4240847,0.029279163
508,,0.7963326,0.20135912,
509,0.2322953,,0.68681157,0.07835102
510,,,0.9994914,
511,,0.12881076,0.73716944,0.13157469
512,,0.9970497,,
513,0.23283096,0.084164366,0.5909311,0.09207352
514,0.062682375,0.34136248,0.5953299,
515,,0.05714707,0.88138795,0.05852763
516,,,0.91705793,0.07883838
517,0.1442689,0.06261774,0.7358712,0.05724216
518,0.034696452,0.1513815,0.75781196,0.056110088
519,0.18219955,0.07001411,0.6282916,0.1194947
520,,0.056352545,0.6468898,0.294104
521,,0.39278436,0.30025238,0.3054673
522,,0.9805659,0.017507842,
523,,0.17754525,0.78553987,0.033601344
524,,0.2782505,0.7158069,
525,,0.14008977,0.66247433,0.19539782
526,,0.6348187,0.36206892,
527,,0.798049,0.19893405,
528,,0.029440109,0.9319385,0.036592998
529,,0.081869125,0.91242206,
530,,0.22214858,0.771367,
531,,0.25070128,0.13367596,0.6147398
532,,0.10395705,0.85638726,0.037350506
533,,0.15759192,0.65358585,0.18713899
534,,0.1019316,0.83460253,0.059907295
535,,0.28708005,0.70802855,
536,0.048024446,0.12828235,0.69569916,0.127994
537,,0.7541223,0.24217053,
538,0.03618983,0.68194723,0.19539827,0.08646466
539,,0.114950396,0.8120053,0.069329716
540,,0.67591393,0.32101375,
541,,0.12919752,0.6939051,0.17427035
542,,0.31686276,0.61560893,0.06555808
543,0.06480863,0.10341151,0.70647985,0.12530008
544,,0.56397486,0.36343682,0.070311785
545,,0.3843342,0.4690877,0.14477676
546,,0.27509615,0.61770916,0.10569796
547,,0.13661487,0.7525153,0.10763501
548,,0.16080539,0.57643175,0.26039815
549,,0.15536359,0.83976126,
550,,0.47126955,0.524253,
551,,0.23670384,0.046305306,0.7164701
552,,0.47058275,0.52445257,
553,,0.043980896,0.6743625,0.2785203
554,,0.11313398,0.8809799,
555,,0.88099295,0.11613864,
556,0.18580078,0.05039514,0.76254827,
557,0.08335861,,0.88035566,0.033558115
558,,0.057753507,0.8701048,0.06933451
559,0.2946063,0.088283636,0.5561527,0.06095734
560,0.48800835,0.12871724,0.297118,0.08615636
561,,0.36848137,0.41184467,0.21771067
562,0.18273015,0.061458487,0.72929096,0.026520416
563,,0.11140459,0.8222187,0.06365224
564,0.11888797,0.46565425,0.33199355,0.083464265
565,0.072743356,0.16729657,0.72159004,0.03837005
566,0.16850328,0.22552948,0.51233447,0.09363279
567,0.10121912,0.046375852,0.8506738,
568,0.06880697,0.15200964,0.6996821,0.07950129
569,0.22248061,0.12753041,0.64778304,
570,0.48724946,0.0510202,0.4606056,
571,0.139669,0.116886325,0.74158776,
572,,0.82798415,0.16744211,
573,0.2215395,0.16492254,0.59168994,0.021848017
574,,0.12021449,0.7027854,0.17478523
575,0.030636853,0.22893889,0.6970062,0.043417975
576,,0.021028494,0.8097346,0.16694054
577,0.03260973,0.267599,0.69811857,
578,0.10861741,0.28850642,0.6020495,
579,,0.44888994,0.54642874,
580,0.34212616,0.08484222,0.5716408,
581,,0.22739503,0.70132303,0.067468055
582,,0.11243949,0.6963147,0.18868445
583,0.019794554,0.38364843,0.4196691,0.17688799
584,,0.57610154,0.3672795,0.05480799
585,,0.25427586,0.5572381,0.18594143
586,0.036667503,0.28974336,0.40685287,0.2667362
587,0.12792589,0.19729131,0.67214537,
588,0.056222584,,0.93866193,
589,0.040680137,0.17980029,0.58426213,0.19525746
590,,0.70081025,0.29641545,
591,,0.44378167,0.5177789,0.036344197
592,0.026212588,0.15961426,0.66395676,0.15021634
593,0.20373434,0.0769864,0.71713513,
594,,0.07822169,0.77298105,0.14621405
595,,0.41101903,0.5343904,0.05204465
596,,0.13024664,0.7393317,0.12759385
597,,0.8527757,0.14486587,
598,,0.7579111,0.23951901,
599,,0.018540079,0.8025695,0.17646496
600,,0.9980707,,
601,0.20019567,0.03974617,0.68122345,0.07883466
602,0.93729,0.011207961,0.022432439,0.029069612
603,0.061399803,0.056795567,0.5606788,0.3211258
604,0.82015246,0.061795402,0.0136226965,0.10442944
605,0.18642275,0.0787335,0.49158123,0.24326248
606,0.76631707,0.05383897,0.094753414,0.08509056
607,0.7492975,0.049519807,0.20117009,
608,0.19686365,0.14632823,0.28959727,0.3672108
609,0.025065836,,0.96040255,0.014525489
610,0.11582033,0.06866096,0.37393397,0.44158474
611,0.53628045,0.11798802,0.14728513,0.19844642
612,0.19314106,0.18792854,0.3579764,0.26095396
613,0.87126935,0.042444974,0.06689187,0.01939383
614,0.71736807,0.036275662,0.0977191,0.14863715
615,0.5519056,0.059278082,0.23244743,0.15636893
616,0.12875798,0.08998761,0.48040405,0.30085036
617,0.039604686,0.19510049,0.03394463,0.7313502
